Name,Perm Id,Ric,STS,Tanker Zone,Type
Kwinana Bulk Terminal Jetty 1,77309540169,C}TS7309540169,0,N/A,BERTH
Kwinana Bulk Terminal Jetty 2,77309540168,C}TS7309540168,0,N/A,BERTH
Kyauk Phyu (incl Ma Day Island),77309543249,C}TS7309543249,0,Chittagong,PORT
Kyodo Silo Agribulk Terminal,77309542068,C}TS7309542068,0,N/A,BERTH
Kyokuto Petroleum Ichihara LPG Import Terminal,77309542273,C}TS7309542273,0,N/A,BERTH
Kyokuto Petroleum Ichihara Refinery,77309542272,C}TS7309542272,0,N/A,BERTH
Kythnos,77309542636,C}TS7309542636,0,Greece,PORT
Kyushu Energy Oita Port LNG Power Station,77309540000,C}TS7309540000,0,N/A,BERTH
La Cabezuela Pier (Cadiz),77309826524,C}TS7309826524,0,N/A,BERTH
La Candelaria Container Terminal,77309540624,C}TS7309540624,0,N/A,BERTH
La Ceiba,77309531763,C}TS7309531763,0,'-,PORT
La Ceiba (Honduras),77309534161,C}TS7309534161,0,E Mexico,PORT
La Ciotat,77309533014,C}TS7309533014,0,Fos sur Mer,PORT
La Coruna,77309532621,C}TS7309532621,0,Bilbao,PORT
La Goulette,77309532650,C}TS7309532650,0,Malta,PORT
La Grana-Naval Berth (El Ferrol),77309831162,C}TS7309831162,0,N/A,BERTH
La Guaira,77309532720,C}TS7309532720,0,Caribbean,PORT
La Guaira Grain elevator,77309539511,C}TS7309539511,0,N/A,BERTH
La Libertad (El Salvador),77309538573,C}TS7309538573,0,'-,PORT
La Libertad (Monteverde),77309538508,C}TS7309538508,0,Esmeraldas,PORT
La Luz Container Terminal,77309541232,C}TS7309541232,0,N/A,BERTH
La Nouvelle,77309534613,C}TS7309534613,0,Fos sur Mer,PORT
La Nouvelle - Liquids Berth D2,77309829748,C}TS7309829748,0,N/A,BERTH
La Nouvelle Mooring Buoy,77309851655,C}TS7309851655,0,N/A,BERTH
La Pallice,77309532482,C}TS7309532482,0,Bilbao,PORT
La Pallice - Berth1 TBN,77309829713,C}TS7309829713,0,N/A,BERTH
La Palma,77309532153,C}TS7309532153,0,Panama,PORT
La Paloma,77309533304,C}TS7309533304,0,Buenos Aires,PORT
La Paloma STS,77309728700,C}TS7309728700,1,N/A,BERTH
La Pampilla MBM,77309531155,C}TS7309531155,0,W Coast S America,PORT
La Paz,77309542985,C}TS7309542985,0,W Mexico,PORT
La Petrolifera Italo Albanese (PIA) Terminal (Vlore),77309830638,C}TS7309830638,0,N/A,BERTH
La Place,77309531561,C}TS7309531561,0,US Gulf,PORT
La Plata,77309531871,C}TS7309531871,0,Buenos Aires,PORT
La Plata Anchorage (for several ports),77309542397,C}TS7309542397,0,N/A,ANCHORAGE
La Relance Terminal-40 (Sept-Iles),77309768777,C}TS7309768777,0,N/A,BERTH
La Romana,77309531758,C}TS7309531758,0,Bahamas,PORT
La Salina,77309532725,C}TS7309532725,0,Caribbean,PORT
La Savina,77309535414,C}TS7309535414,0,West Med,PORT
La Skhirra,77309533510,C}TS7309533510,0,Malta,PORT
La Spezia,77309531378,C}TS7309531378,0,Fos sur Mer,PORT
La Spezia Anchorage,77309542762,C}TS7309542762,0,N/A,ANCHORAGE
La Spezia Container Terminal,77309541616,C}TS7309541616,0,N/A,BERTH
La Union,77309531381,C}TS7309531381,0,Panama,PORT
La Union Container Terminal Phase 1,77309539474,C}TS7309539474,0,N/A,BERTH
La Union MPP Terminal,77309539470,C}TS7309539470,0,N/A,BERTH
Laayoune,77309532495,C}TS7309532495,0,Tenerife,PORT
Laayoune Anchorage,77309542912,C}TS7309542912,0,N/A,ANCHORAGE
Laayoune Phosphate Terminal,77309539462,C}TS7309539462,0,N/A,BERTH
Laayoune Tanker Berth,77309830727,C}TS7309830727,0,N/A,BERTH
Labadee,77309542527,C}TS7309542527,0,Bahamas,PORT
Labuan,77309532780,C}TS7309532780,0,Manila,PORT
Labuan - Shell Oil jetty,77309557296,C}TS7309557296,0,N/A,BERTH
Labuan Anchorage,77309841128,C}TS7309841128,0,N/A,ANCHORAGE
Labuan Crude Oil Terminal,77309557295,C}TS7309557295,0,N/A,BERTH
Ladinda FSO,77309698421,C}TS7309698421,0,N/A,BERTH
Lae,77309534741,C}TS7309534741,0,Kumul Marine Terminal,PORT
Lae - Tanker Berth,77309556942,C}TS7309556942,0,N/A,BERTH
Lae Overseas Wharf,77309540832,C}TS7309540832,0,N/A,BERTH
Laem Chabang,77309531706,C}TS7309531706,0,Thailand,PORT
"Laem Chabang Container Terminal One (A0,B1)",77309541508,C}TS7309541508,0,N/A,BERTH
Laem Chabang Cruise Centre (and aux Roro Pier),77309542474,C}TS7309542474,0,N/A,BERTH
"Laem Chabang International Terminal (B5,C3)",77309541793,C}TS7309541793,0,N/A,BERTH
Laem Chabang Northern Anchorage,77309542743,C}TS7309542743,0,N/A,ANCHORAGE
Laem Chabang Southern Anchorage,77309542742,C}TS7309542742,0,N/A,ANCHORAGE
Lafarge Aso Kanda Cement Plant,77309542418,C}TS7309542418,0,N/A,BERTH
Lafarge Corp West Lake Cement Terminal (Lake Charles),77309838758,C}TS7309838758,0,N/A,BERTH
Lafarge Mahaweli Cement Plant,77309539526,C}TS7309539526,0,N/A,BERTH
Lafarge Westport Cement Terminal,77309539580,C}TS7309539580,0,N/A,BERTH
Laffiteau,77309538372,C}TS7309538372,0,'-,PORT
Lagos,77309533930,C}TS7309533930,0,West Africa,PORT
Lagos - Berth1 TBN,77309826763,C}TS7309826763,0,N/A,BERTH
Lagos (Portugal),77309531651,C}TS7309531651,0,Gibraltar,PORT
Lagos Main Anchorage,77309542730,C}TS7309542730,0,N/A,ANCHORAGE
Lagos Outer Anchorage,77309542832,C}TS7309542832,0,N/A,ANCHORAGE
Lagos STS Area,77309853963,C}TS7309853963,1,West Africa,PORT
Lahad Datu,77309532789,C}TS7309532789,0,Manila,PORT
Laizhou,77309538343,C}TS7309538343,0,Korea,PORT
Laizhou Harbour Affairs Berth No.8,77309947128,C}TS7309947128,0,N/A,BERTH
Laizhou Inner Anchorage,77309791570,C}TS7309791570,0,N/A,ANCHORAGE
Laizhou Outer Anchorage,77309791571,C}TS7309791571,0,N/A,ANCHORAGE
Laizhou Power Station Berth,77309766248,C}TS7309766248,0,N/A,BERTH
Laizhou Sanshandao (Longkou Area),77309543247,C}TS7309543247,0,Korea,PORT
Laizhou Sanshandao Bulk Terminal,77309766249,C}TS7309766249,0,N/A,BERTH
Lake Charles,77309531848,C}TS7309531848,0,US Gulf,PORT
Lake Charles Citgo Clifton Ridge Terminal,77309761170,C}TS7309761170,0,N/A,BERTH
Lake Charles Citgo Refinery Dock A,77309681899,C}TS7309681899,0,N/A,BERTH
Lake Charles Citgo Refinery Dock B,77309681900,C}TS7309681900,0,N/A,BERTH
Lake Charles Citgo Refinery Dock C,77309681901,C}TS7309681901,0,N/A,BERTH
Lake Charles Citgo Refinery Dock D,77309681903,C}TS7309681903,0,N/A,BERTH
Lake Charles Conoco Clifton Ridge Terminal,77309785859,C}TS7309785859,0,N/A,BERTH
Lake Charles Outer Anchorage (test),77309785999,C}TS7309785999,0,N/A,ANCHORAGE
Lake Charles Westlake (P66) Dock,77309681904,C}TS7309681904,0,N/A,BERTH
Lake Ontario,77309538354,C}TS7309538354,0,E Coast Canada,PORT
Lalang Terminal,77309531920,C}TS7309531920,0,Singapore,PORT
Lamberts Point Coal Terminal,77309541945,C}TS7309541945,0,N/A,BERTH
Lamberts Point Docks Pier L North (Norfolk),77309839191,C}TS7309839191,0,N/A,BERTH
Lamberts Point Docks Pier L South (Norfolk),77309839193,C}TS7309839193,0,N/A,BERTH
Lamberts Point Docks Pier N South (Norfolk),77309839194,C}TS7309839194,0,N/A,BERTH
Lamberts Point Docks Pier P North (Norfolk),77309839195,C}TS7309839195,0,N/A,BERTH
Lamberts Point Docks Pier P South (Norfolk),77309839196,C}TS7309839196,0,N/A,BERTH
Laminaria Terminal (Northern Endeavour FPSO),77309779672,C}TS7309779672,0,Lawi-Lawi Terminal,PORT
Lampedusa,77309531976,C}TS7309531976,0,Malta,PORT
Lamu,77309538992,C}TS7309538992,0,East Africa,PORT
Landskrona,77309532828,C}TS7309532828,0,Baltic,PORT
Langkawi Port,77309533925,C}TS7309533925,0,Singapore,PORT
Languard Terminal,77309541364,C}TS7309541364,0,N/A,BERTH
Lanshan,77309533891,C}TS7309533891,0,Korea,PORT
Lanshan Anchorage,77309542847,C}TS7309542847,0,N/A,ANCHORAGE
Lanshan Bulk Terminal (North),77309765267,C}TS7309765267,0,N/A,BERTH
Lanshan Bulk terminal (South),77309765268,C}TS7309765268,0,N/A,BERTH
Lanshan Oil Terminal,77309796702,C}TS7309796702,0,N/A,BERTH
Lantau Anchorage - loading or waiting area,77309542671,C}TS7309542671,0,N/A,ANCHORAGE
Lantic Sugar Refinery Terminal,77309540342,C}TS7309540342,0,N/A,BERTH
Lantmannen Djuron Area Grain Elevator,77309539244,C}TS7309539244,0,N/A,BERTH
Lanxess (Kannaldok Antwerp),77309755931,C}TS7309755931,0,N/A,BERTH
Laoag,77309536771,C}TS7309536771,0,Manila,PORT
Lappohja,77309536773,C}TS7309536773,0,Baltic,PORT
Larak Island (test),77309536774,C}TS7309536774,0,Arabian Gulf,PORT
Larnaca,77309531136,C}TS7309531136,0,East Med,PORT
Larnaca Anchorage,77309539211,C}TS7309539211,0,N/A,ANCHORAGE
Larnaca Container Terminal (generic name),77309541272,C}TS7309541272,0,N/A,BERTH
Larne,77309534578,C}TS7309534578,0,Ireland,PORT
Larne Ferry Terminal (generic name),77309540423,C}TS7309540423,0,N/A,BERTH
Larvik,77309534243,C}TS7309534243,0,UK Continent,PORT
Las Palmas,77309538900,C}TS7309538900,0,Tenerife,PORT
Las Palmas - Berth1 TBN,77309828623,C}TS7309828623,0,N/A,BERTH
Las Palmas Anchorage,77309542737,C}TS7309542737,0,N/A,ANCHORAGE
Las Piedras,77309533307,C}TS7309533307,0,Caribbean,PORT
Las Salinas,77309532550,C}TS7309532550,0,Chile,PORT
Las Ventanas,77309538264,C}TS7309538264,0,Chile,PORT
Latakia,77309533180,C}TS7309533180,0,East Med,PORT
Latakia Anchorage,77309542941,C}TS7309542941,0,N/A,ANCHORAGE
Latakia Container Terminal (main berths),77309541018,C}TS7309541018,0,N/A,BERTH
Latvian Propane Gas LPG Terminal (Riga),77309830717,C}TS7309830717,0,N/A,BERTH
Launceston,77309532216,C}TS7309532216,0,Melbourne,PORT
Laurelco Bulk Terminal,77309540287,C}TS7309540287,0,N/A,BERTH
Lautoka,77309532073,C}TS7309532073,0,New Zealand,PORT
Lavan Island,77309532712,C}TS7309532712,0,Arabian Gulf,PORT
Lavan Island SBM,77309729103,C}TS7309729103,0,N/A,BERTH
Lavan Island Tanker Pier,77309539834,C}TS7309539834,0,N/A,BERTH
Lavera A1 (Port de Bouc),77309830314,C}TS7309830314,0,N/A,BERTH
Lavera A2 (Port de Bouc),77309830315,C}TS7309830315,0,N/A,BERTH
Lavera C BPTFEShell (Port de Bouc),77309830316,C}TS7309830316,0,N/A,BERTH
Lavera D BPTFEShell (Port de Bouc),77309830317,C}TS7309830317,0,N/A,BERTH
Lavera E BPTFEShell (Port de Bouc),77309830318,C}TS7309830318,0,N/A,BERTH
Lavera F (724) (Marseille),77309831208,C}TS7309831208,0,N/A,BERTH
Lavera G (726) (Marseille),77309831210,C}TS7309831210,0,N/A,BERTH
Lavera H (Port de Bouc),77309830319,C}TS7309830319,0,N/A,BERTH
Lavera Pier K6 (Port de Bouc),77309830320,C}TS7309830320,0,N/A,BERTH
Lavrio - TBC 1 (Lavrion),77309831211,C}TS7309831211,0,N/A,BERTH
Lavrion,77309533283,C}TS7309533283,0,Greece,PORT
Lawi-Lawi Terminal (Balikpapan),77309770782,C}TS7309770782,0,N/A,BERTH
Lazaro Cardenas,77309531171,C}TS7309531171,0,W Mexico,PORT
Lazaro Cardenas Anchorage,77309542688,C}TS7309542688,0,N/A,ANCHORAGE
LBC Antwerp Tank Terminal,77309542173,C}TS7309542173,0,N/A,BERTH
LBC Baton Rouge (Geismar/Gabriel) Terminal,77309539296,C}TS7309539296,0,N/A,BERTH
LBC Berth (Bayonne),77309951129,C}TS7309951129,0,N/A,BERTH
LBC BV - Chemical Berth (RTM),77309847376,C}TS7309847376,0,N/A,BERTH
LBC Sogestrol - Storage - No 4 (Le Havre),77309830131,C}TS7309830131,0,N/A,BERTH
LBC Sogestrol - Storage No 5 (Le Havre),77309830132,C}TS7309830132,0,N/A,BERTH
LBC Sogestrol - Storage No. 3 (Le Havre),77309830133,C}TS7309830133,0,N/A,BERTH
LBC Sogestrol Chemicals Terminal Le Havre,77309539478,C}TS7309539478,0,N/A,BERTH
LBC Tank LB1 Bayport (HOU),77309557399,C}TS7309557399,0,N/A,BERTH
LBC Tank LB2 Bayport (HOU),77309857957,C}TS7309857957,0,N/A,BERTH
LBC Tank Terminal (Santander),77309830090,C}TS7309830090,0,N/A,BERTH
LBC Tank Tml (HOU) Bayport,77309540390,C}TS7309540390,0,N/A,BERTH
LBC Tank Tml LB3 Bayport (HOU),77309857958,C}TS7309857958,0,N/A,BERTH
LBC Tanquipor (Lisbon),77309824353,C}TS7309824353,0,N/A,BERTH
LCTPC Terminal 1 (Canal Suroeste),77309541785,C}TS7309541785,0,N/A,BERTH
LCTPC Terminal 2 (Canal Norte),77309540862,C}TS7309540862,0,N/A,BERTH
LD Line\'s Cross-Channel HSC Layover Berth,77309539570,C}TS7309539570,0,N/A,BERTH
"LDC Timbues (San Lorenzo, AR)",77309870752,C}TS7309870752,0,N/A,BERTH
Le Havre,77309531075,C}TS7309531075,0,UK Continent,PORT
Le Havre - Berth 1,77309844646,C}TS7309844646,0,N/A,BERTH
Le Havre - Berth 10,77309844656,C}TS7309844656,0,N/A,BERTH
